Word,Frequency
10,7607
100,2179
1000,645
102,188
103,233
104,294
106,175
109,176
10th,968
11,4024
111,262
112,141
115,125
118,120
119,201
11th,801
12,3778
120,475
122,188
124,118
127,117
128,126
129,55
12th,999
13,2613
133,59
134,138
137,114
139,64
13th,886
14,3770
140,303
141,114
142,65
143,92
144,136
145,166
146,121
147,126
148,84
14th,845
15,3421
150,494
151,108
152,118
155,123
156,133
158,83
15th,941
16,3252
160,187
161,134
163,62
164,61
165,84
166,71
169,119
16th,597
17,2310
170,163
175,103
176,141
177,35
178,56
17th,654
18,3136
183rd,2
185,52
186,31
189,38
18th,945
19,2050
190,86
191,110
194,36
1958,29
196,69
1960,132
1965,29
197,87
1977,66
1980,121
1982,78
1996,234
1997,157
19th,552
1st,412
20,3844
200,728
2007,866
2008,953
2010,692
2011,962
2012,1090
2013,1001
2014,1061
2015,709
2016,1566
2017,1222
2018,1392
2019,1656
2020,1542
2021,2422
2022,4136
2023,3722
2024,18540
2025,7072
2028,579
204,119
205,104
208,83
20th,350
21,1956
210,92
211,64
215,37
216,26
21st,316
22,2337
226,31
229,23
22nd,343
23,1681
232,30
23rd,445
24,2148
246,38
249,29
24th,451
25,2136
255,49
25th,358
26,1747
261,67
264,82
26th,294
27,2620
27th,243
28,1503
284,20
285,53
28th,238
29,1391
29th,190
2nd,497
30,9121
300,1056
30th,286
31,1252
314,34
319,26
31st,185
32,1271
33,873
33rd,166
34,811
34th,273
35,1243
36,1478
3600,2
37,1004
379,24
37th,93
38,840
38th,136
39,762
390,7
39th,111
3rd,309
3w,2
40,1722
41,1247
41st,170
42,898
424,8
43,600
44,588
44th,105
45,742
46,731
47,767
47th,83
48,608
49,426
490,1
4996,1
49th,121
4th,325
50,2423
500,1048
5000,17
50kg,448
51,659
5121,1
5162,1
51st,100
52,760
53,430
53rd,124
54,646
54th,81
55,625
5529,1
56,448
57,517
57kg,305
58,529
58th,65
59,385
5th,340
5w,2
60,1025
60th,81
61,308
62,392
63,284
63rd,39
64,497
64th,49
65,971
65th,47
66,537
67,492
68,561
69,618
692,8
69kg,84
6th,208
70,766
7000,3
71,552
71st,55
72,508
73,419
74,552
75,2804
750,341
75kg,193
76,389
76th,12
77,372
77th,55
78,242
79,211
7th,287
81,256
82,316
83,303
84,259
87,180
88th,151
89,340
8th,300
90,619
91,195
93,208
96,164
99,206
9th,248
aakarshi,396
aamir,50
aaron,1344
ab,208
abdul,339
aberg,168
abhinav,318
abhishek,1943
ability,4183
abishek,108
ablaze,17
able,3789
absence,2130
absorb,53
abstained,6
abuzz,73
ac,226
academy,1850
acc,118
accelerate,91
accept,573
accepted,482
acche,25
accolade,382
accomplishment,469
according,2677
accordingly,186
accounted,120
accumulating,264
accused,491
ace,1010
achieve,1498
achieved,2688
achievement,3213
achieving,616
acknowledged,1962
acknowledging,693
acosto,2
acquired,320
acquiring,184
act,714
action,3627
actually,1505
ad,276
adapt,593
add,2206
added,6385
addedkohli,1
adding,2112
additional,830
additionally,988
address,1079
adductor,23
adeptness,8
adil,160
adjei,5
admiration,687
admitted,1297
adopted,196
advance,992
advanced,1423
advancing,444
advantage,1828
advantageous,63
advent,28
advertising,41
advice,582
advised,283
advisory,71
aerial,177
afc,842
affair,785
affect,439
affiliated,147
afghanistan,2321
afp,1618
africa,4728
african,874
afternoon,577
agada,2
agarwal,206
aged,371
agenda,157
aggression,378
aggressive,1972
agility,140
ago,2488
agreed,566
ahead,6006
ahmad,329
ahmed,1438
ahmedabad,841
ahmedtravis,12
aiden,381
aim,2294
aimed,562
aiming,1188
airee,24
ajay,283
ajinkya,446
akane,155
akash,1376
akeal,83
akshay,425
al,754
albiach,20
alcaraz,2022
alert,209
alex,1000
alexander,716
alexei,77
ali,1748
alike,585
alisher,1
alive,674
allegation,551
allegri,8
allianz,81
allowed,1428
allowing,1087
allows,295
allrounder,1156
allure,55
almora,57
alongside,2480
alonso,62
alternating,41
alternative,160
alzarri,172
amallia,16
amassed,733
amazed,54
ambassador,214
ambati,106
amends,215
amerat,20
american,3196
amid,898
amidst,545
amit,641
amplifying,11
